AK,Alaska,America/Anchorage
AL,Alabama,America/Chicago
AR,Arkansas,America/Chicago
AZ,Arizona,America/Phoenix
CA,California,America/Los_Angeles
CO,Colorado,America/Denver
CT,Connecticut,America/New_York
DC,District_of_Columbia,America/New_York
DE,Delaware,America/New_York
FL,Florida,America/New_York
GA,Georgia,America/New_York
HI,Hawaii,Pacific/Honolulu
IA,Iowa,America/Chicago
ID,Idaho,America/Boise
IL,Illinois,America/Chicago
IN,Indiana,America/Kentucky/Louisville
KS,Kansas,America/Chicago
KY,Kentucky,America/Kentucky/Monticello
LA,Louisiana,America/Chicago
MA,Massachusetts,America/New_York
MD,Maryland,America/New_York
ME,Maine,America/New_York
MI,Michigan,America/Detroit
MN,Minnesota,America/Chicago
MO,Missouri,America/Chicago
MS,Mississippi,America/Chicago
MT,Montana,America/Denver
NC,North_Carolina,America/New_York
ND,North_Dakota,America/North_Dakota/New_Salem
NE,Nebraska,America/Chicago
NH,New_Hampshire,America/New_York
NJ,New_Jersey,America/New_York
NM,New_Mexico,America/Denver
NV,Nevada,America/Los_Angeles
NY,New_York,America/New_York
OH,Ohio,America/New_York
OK,Oklahoma,America/Chicago
OR,Oregon,America/Los_Angeles
PA,Pennsylvania,America/New_York
RI,Rhode_Island,America/New_York
SC,South_Carolina,America/New_York
SD,South_Dakota,America/Chicago
TN,Tennessee,America/Chicago
TX,Texas,America/Chicago
UT,Utah,America/Denver
VA,Virginia,America/New_York
VT,Vermont,America/New_York
WA,Washington,America/Los_Angeles
WI,Wisconsin,America/Chicago
WV,West_Virginia,America/New_York
WY,Wyoming,America/Denver
